high,low,open,close,volume,adj close
199.1199951171875,196.8000030517578,198.5500030517578,198.11000061035156,142557000.0,179.4183807373047
199.9499969482422,197.39999389648438,197.5800018310547,199.3800048828125,113330000.0,180.56857299804688
201.82000732421875,200.77000427246094,201.77999877929688,201.66000366210938,146903000.0,182.6334686279297
202.4499969482422,201.30999755859375,201.9199981689453,201.77000427246094,93600000.0,182.7330780029297
201.60000610351562,200.05999755859375,201.22999572753906,201.07000732421875,93343000.0,182.09912109375
202.58999633789062,201.4499969482422,202.5399932861328,202.33999633789062,91709000.0,183.2493133544922
203.25999450683594,201.63999938964844,202.38999938964844,203.14999389648438,107089000.0,183.98284912109375
203.60000610351562,202.61000061035156,203.1699981689453,203.33999633789062,89540000.0,184.15493774414062
204.0399932861328,203.1300048828125,203.3800048828125,203.97999572753906,66319000.0,184.73458862304688
204.30999755859375,203.64999389648438,204.05999755859375,204.17999267578125,54499400.0,184.91571044921875
204.24000549316406,203.30999755859375,203.35000610351562,203.9600067138672,90120300.0,184.71649169921875
204.8300018310547,203.2100067138672,204.16000366210938,204.19000244140625,85357900.0,184.92477416992188
204.49000549316406,203.72000122070312,204.10000610351562,204.24000549316406,80417500.0,184.97006225585938
204.5800018310547,203.64999389648438,203.85000610351562,204.3699951171875,80441000.0,185.08778381347656
205.9199981689453,204.44000244140625,204.44000244140625,205.5500030517578,76068100.0,186.15646362304688
205.5500030517578,204.3000030517578,205.30999755859375,205.22000122070312,82373000.0,185.8576202392578
205.7100067138672,204.17999267578125,204.25999450683594,205.5800018310547,72840300.0,186.18360900878906
207.83999633789062,205.97999572753906,207.63999938964844,206.67999267578125,142327300.0,187.17979431152344
207.38999938964844,206.91000366210938,207.1699981689453,207.25999450683594,65880800.0,187.70509338378906
207.7899932861328,206.8000030517578,207.5399932861328,207.11000061035156,79108300.0,187.5692596435547
207.75999450683594,207.02999877929688,207.2899932861328,207.63999938964844,62167800.0,188.04925537109375
207.8699951171875,206.91000366210938,207.49000549316406,207.1999969482422,57890100.0,187.6507568359375
206.5399932861328,205.3800048828125,206.39999389648438,205.75999450683594,103968400.0,186.34658813476562
207.33999633789062,205.77999877929688,205.80999755859375,207.08999633789062,74507200.0,187.55113220214844
208.14999389648438,207.10000610351562,207.3000030517578,207.88999938964844,68952000.0,188.27565002441406
208.27000427246094,206.6999969482422,207.5399932861328,207.66000366210938,91316600.0,188.06739807128906
208.47000122070312,207.5500030517578,207.8699951171875,208.0,91025500.0,188.375244140625
208.1199951171875,205.92999267578125,207.52000427246094,206.61000061035156,108588200.0,187.116455078125
206.60000610351562,203.91000366210938,204.3699951171875,206.47000122070312,125180100.0,186.98960876464844
205.97999572753906,202.92999267578125,205.91000366210938,203.16000366210938,159856400.0,183.99192810058594
206.19000244140625,203.7100067138672,203.8800048828125,204.19000244140625,159012800.0,184.92477416992188
203.82000732421875,200.85000610351562,202.63999938964844,200.88999938964844,202330200.0,181.93609619140625
202.52999877929688,198.77999877929688,201.97999572753906,199.50999450683594,189965800.0,180.686279296875
202.39999389648438,197.86000061035156,198.5800018310547,197.91000366210938,259543800.0,179.23724365234375
202.33999633789062,198.2899932861328,198.44000244140625,201.7899932861328,253910100.0,182.7511749267578
212.97000122070312,203.9199981689453,204.74000549316406,206.77999877929688,257633900.0,187.27040100097656
207.3300018310547,205.61000061035156,206.42999267578125,206.52000427246094,245084600.0,188.06724548339844
207.47000122070312,206.4600067138672,206.75,207.47000122070312,148318900.0,188.93234252929688
208.22999572753906,207.39999389648438,208.1699981689453,207.75,122167900.0,189.18731689453125
208.33999633789062,207.72000122070312,208.02000427246094,207.77000427246094,42963400.0,189.20553588867188
208.85000610351562,208.25,208.30999755859375,208.44000244140625,57326700.0,189.81564331054688
208.97000122070312,208.13999938964844,208.22000122070312,208.72000122070312,79643900.0,190.07064819335938
208.3699951171875,207.50999450683594,208.2100067138672,207.60000610351562,73540800.0,189.0507354736328
208.19000244140625,205.38999938964844,207.99000549316406,205.5399932861328,130333800.0,187.17477416992188
206.8800048828125,204.17999267578125,206.3800048828125,205.42999267578125,121465900.0,187.0745849609375
204.3699951171875,201.35000610351562,204.1699981689453,201.72000122070312,169632600.0,183.6960906982422
202.72000122070312,198.86000061035156,202.08999633789062,199.82000732421875,209151400.0,181.96588134765625
202.72000122070312,200.8800048828125,201.4199981689453,202.30999755859375,125346700.0,184.23338317871094
206.16000366210938,203.99000549316406,204.00999450683594,205.89999389648438,147217800.0,187.50259399414062
206.4199981689453,203.50999450683594,206.39999389648438,204.25,158567300.0,186.00003051757812
204.60000610351562,201.9199981689453,204.41000366210938,202.64999389648438,144396100.0,184.54298400878906
205.47999572753906,200.50999450683594,204.1199951171875,202.0800018310547,214553300.0,184.02392578125
201.10000610351562,198.57000732421875,199.64999389648438,200.86000061035156,192991100.0,182.91293334960938
202.00999450683594,198.8800048828125,201.6300048828125,199.02000427246094,176613900.0,181.23736572265625
201.82000732421875,198.5500030517578,198.77000427246094,201.6300048828125,211879600.0,183.6141357421875
202.72000122070312,200.1699981689453,202.39999389648438,202.05999755859375,130991100.0,184.00570678710938
203.66000366210938,200.94000244140625,201.5,203.0800018310547,122942700.0,184.93458557128906
206.25999450683594,202.3300018310547,203.99000549316406,206.10000610351562,174356000.0,187.6847381591797
206.10000610351562,204.80999755859375,205.7899932861328,204.97000122070312,117516800.0,186.6557159423828
205.55999755859375,203.85000610351562,204.7100067138672,205.4499969482422,92009700.0,187.0928192138672
204.1199951171875,201.74000549316406,202.97000122070312,202.74000549316406,134044600.0,184.6249542236328
